Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0031201~SNARE complex	6	0.864553314	0.0433317	-2.163655333	2.060714552	"FBtr0082195, FBtr0088103, FBtr0072607, FBtr0299903, FBtr0075365, FBtr0072236"	561	35	10026	3.063712758	0.999999831	0.953297389
SMART	SM00397:t_SNARE	4	0.576368876	0.046206253	-1.6153105	0.786424092	"FBtr0088103, FBtr0072607, FBtr0075365, FBtr0072236"	289	15	5218	4.814763552	0.999983674	1
INTERPRO	IPR000727:Target SNARE coiled-coil domain	4	0.576368876	0.055601772	-1.6153105	0.786424092	"FBtr0088103, FBtr0072607, FBtr0075365, FBtr0072236"	611	16	10984	4.494271686	1	1
GOTERM_MF_DIRECT	GO:0000149~SNARE binding	5	0.720461095	0.085770442	-2.2811248	1.505989711	"FBtr0088103, FBtr0072607, FBtr0075365, FBtr0072236, FBtr0334865"	507	31	9284	2.953489852	1	1
GOTERM_BP_DIRECT	GO:0006906~vesicle fusion	4	0.576368876	0.122980636	1.0122835	5.121719443	"FBtr0088103, FBtr0334285, FBtr0072607, FBtr0075365"	566	24	10996	3.237926973	1	1
KEGG_PATHWAY	dme04130:SNARE interactions in vesicular transport	4	0.576368876	0.13677427	-1.6153105	0.786424092	"FBtr0088103, FBtr0072607, FBtr0075365, FBtr0072236"	179	20	2737	3.058100559	0.999999262	1
GOTERM_MF_DIRECT	GO:0005484~SNAP receptor activity	4	0.576368876	0.152917225	-1.6153105	0.786424092	"FBtr0088103, FBtr0072607, FBtr0075365, FBtr0072236"	507	25	9284	2.929861933	1	1
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	9	1.296829971	0.177946149	2.965566111	4.645556872	"FBtr0082195, FBtr0088103, FBtr0334285, FBtr0072607, FBtr0087241, FBtr0075365, FBtr0072812, FBtr0087605, FBtr0079437"	566	106	10996	1.649509967	1	1
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	8	1.152737752	0.42109754	-0.051804875	4.173342877	"FBtr0077519, FBtr0088103, FBtr0301528, FBtr0072607, FBtr0299903, FBtr0072812, FBtr0084977, FBtr0072236"	566	120	10996	1.295170789	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0084977	Exo84-RA	0.483223	0.054038	22.8	FlyBase Exo84-RA	Figure for Exo84-RA							
FBtr0299903	Rab21-RC	0.517879	0.039811	17.6	FlyBase Rab21-RC	Figure for Rab21-RC							
FBtr0075365	Syx8-RA	0.907784	0.053453	22.6	FlyBase Syx8-RA	Figure for Syx8-RA							
FBtr0079437	ninaC-RA	2.628441	0.008018	10.4	FlyBase ninaC-RA	Figure for ninaC-RA							
FBtr0301528	RabX5-RB	1.855008	0	8.9	FlyBase RabX5-RB	Figure for RabX5-RB							
FBtr0334285	btsz-RB	0.701593	0.051123	9.8	FlyBase btsz-RB	Figure for btsz-RB							
FBtr0072607	Vti1a-RA	1.716942	0.016774	22.5	FlyBase Vti1a-RA	Figure for Vti1a-RA							
FBtr0087241	Lis-1-RF	0.763826	0.029055	3.9	FlyBase Lis-1-RF	Figure for Lis-1-RF							
FBtr0072236	Snap29-RA	0.36821	0.039811	23.3	FlyBase Snap29-RA	Figure for Snap29-RA							
FBtr0087605	RN-tre-RA	0.581946	0.046042	5.8	FlyBase RN-tre-RA	Figure for RN-tre-RA							
FBtr0082195	gammaSnap2-RA	0.320823	0.037522	23.9	FlyBase gammaSnap2-RA	Figure for gammaSnap2-RA							
FBtr0077519	Sec5-RA	0.353804	0.039622	0.7	FlyBase Sec5-RA	Figure for Sec5-RA							
FBtr0088103	Syx6-RB	1.330069	0.03836	21.1	FlyBase Syx6-RB	Figure for Syx6-RB							
FBtr0334865	Uvrag-RB	1.137344	0.034063	19.1	FlyBase Uvrag-RB	Figure for Uvrag-RB							
FBtr0072812	alphaCOP-RA	1.227777	0.040178	2.6	FlyBase alphaCOP-RA	Figure for alphaCOP-RA							
													
Cluster-15	total=13	enrichmentScore=0.9156589682196234	phaseStdDev=4.231951430971907	"circadian rhythm,JHBP,Haemolymph juvenile hormone binding,multicellular organism reproductionAnnotation Cluster 15"	Enrichment Score: 0.9156589682196234								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0007623~circadian rhythm	10	1.44092219	0.004154725	3.3987285	4.602993808	"FBtr0112879, FBtr0078847, FBtr0076329, FBtr0080452, FBtr0302185, FBtr0084043, FBtr0076782, FBtr0083237, FBtr0346579, FBtr0076843"	566	62	10996	3.133477716	0.99653956	1
SMART	SM00700:JHBP	4	0.576368876	0.228170773	3.088631	3.966822135	"FBtr0078847, FBtr0080452, FBtr0084043, FBtr0083237"	289	30	5218	2.407381776	1	1
INTERPRO	IPR010562:Haemolymph juvenile hormone binding	4	0.576368876	0.231077961	3.088631	3.966822135	"FBtr0078847, FBtr0080452, FBtr0084043, FBtr0083237"	611	30	10984	2.396944899	1	1
GOTERM_BP_DIRECT	GO:0032504~multicellular organism reproduction	7	1.008645533	0.99266644	3.537394714	3.474718103	"FBtr0078847, FBtr0329947, FBtr0080452, FBtr0299788, FBtr0071690, FBtr0084043, FBtr0083237"	566	258	10996	0.527104391	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0329947	NLaz-RB	0.276037	0.040404	6.8	FlyBase NLaz-RB	Figure for NLaz-RB							
FBtr0071690	CG10433-RA	0.660547	0.041578	0.7	FlyBase CG10433-RA	Figure for CG10433-RA							
FBtr0112879	CrebB-RJ	2.323995	0	3.5	FlyBase CrebB-RJ	Figure for CrebB-RJ							
FBtr0080452	CG16820-RA	0.497597	0.040599	9.6	FlyBase CG16820-RA	Figure for CG16820-RA							
FBtr0346579	vri-RF	0.884927	0.03782	11.8	FlyBase vri-RF	Figure for vri-RF							
FBtr0083237	CG10407-RA	2.206628	0.015683	1.7	FlyBase CG10407-RA	Figure for CG10407-RA							
FBtr0302185	sgg-RO	0.472353	0.034536	0.2	FlyBase sgg-RO	Figure for sgg-RO							
FBtr0076329	Ilp2-RA	0.889854	0.017597	21.5	FlyBase Ilp2-RA	Figure for Ilp2-RA							
FBtr0076782	Pdp1-RC	1.172761	0.029757	8.3	FlyBase Pdp1-RC	Figure for Pdp1-RC							
FBtr0076843	lark-RC	0.986081	0.03836	0.4	FlyBase lark-RC	Figure for lark-RC							
FBtr0084043	CG7079-RA	1.406468	0.017597	2.3	FlyBase CG7079-RA	Figure for CG7079-RA							
FBtr0078847	CG2016-RB	1.852572	0	22.8	FlyBase CG2016-RB	Figure for CG2016-RB							
FBtr0299788	CG42326-RD	1.360607	0.016774	4.9	FlyBase CG42326-RD	Figure for CG42326-RD							
													
Cluster-16	total=10	enrichmentScore=0.9067129903346073	phaseStdDev=6.273632473053027	"PH,RhoGEF,Dbl homology (DH) domain,Rho guanyl-nucleotide exchange factor activityAnnotation Cluster 16"	Enrichment Score: 0.9067129903346073								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
SMART	SM00233:PH	8	1.152737752	0.074566224	12.78353967	6.36822836	"FBtr0112920, FBtr0074805, FBtr0110960, FBtr0329963, FBtr0306634, FBtr0081356, FBtr0072622, FBtr0081357, FBtr0084369"	289	67	5218	2.155864277	0.999999986	1
SMART	SM00325:RhoGEF	4	0.576368876	0.130675033	-3.4400026	4.903927331	"FBtr0112920, FBtr0343286, FBtr0329963, FBtr0081356, FBtr0081357"	289	23	5218	3.140063186	1	1
INTERPRO	IPR000219:Dbl homology (DH) domain	4	0.576368876	0.145717344	-3.4400026	4.903927331	"FBtr0112920, FBtr0343286, FBtr0329963, FBtr0081356, FBtr0081357"	611	24	10984	2.996181124	1	1
GOTERM_MF_DIRECT	GO:0005089~Rho guanyl-nucleotide exchange factor activity	4	0.576368876	0.166303742	-3.4400026	4.903927331	"FBtr0112920, FBtr0343286, FBtr0329963, FBtr0081356, FBtr0081357"	507	26	9284	2.817174936	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0110960	CG32982-RB	1.625908	0.02037	2.8	FlyBase CG32982-RB	Figure for CG32982-RB							
FBtr0343286	Unc-89-RG	1.118716	0.029757	0.6	FlyBase Unc-89-RG	Figure for Unc-89-RG							
FBtr0112920	RhoGAP1A-RB	1.047118	0.037522	17.4	FlyBase RhoGAP1A-RB	Figure for RhoGAP1A-RB							
FBtr0306634	CG42668-RN	1.713399	0.009609	8.3	FlyBase CG42668-RN	Figure for CG42668-RN							
FBtr0081356	RtGEF-RA	1.443898	0.018529	3.6	FlyBase RtGEF-RA	Figure for RtGEF-RA							
FBtr0081357	RtGEF-RB	2.035372	NOTEST	14.1	FlyBase RtGEF-RB	Figure for RtGEF-RB							
FBtr0084369	CenB1A-RB	1.13064	0.045242	15.3	FlyBase CenB1A-RB	Figure for CenB1A-RB							
FBtr0072622	CG9205-RB	0.585387	0.03782	22.3	FlyBase CG9205-RB	Figure for CG9205-RB							
FBtr0074805	pico-RB	0.404697	0.041225	12.2	FlyBase pico-RB	Figure for pico-RB							
FBtr0329963	CG10188-RC	1.908311	0.009609	19.1	FlyBase CG10188-RC	Figure for CG10188-RC							
													
Cluster-17	total=8	enrichmentScore=0.9002659804124868	phaseStdDev=3.313999319154011	"photoreceptor cell axon guidance,rhabdomere development,muscle cell cellular homeostasisAnnotation Cluster 17"	Enrichment Score: 0.9002659804124868								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0072499~photoreceptor cell axon guidance	5	0.720461095	0.04197119	1.377401333	3.631398557	"FBtr0100023, FBtr0087241, FBtr0304964, FBtr0302374, FBtr0071207, FBtr0330233"	566	26	10996	3.736069584	1	1
GOTERM_BP_DIRECT	GO:0042052~rhabdomere development	5	0.720461095	0.102956147	0.1697448	2.957951395	"FBtr0100023, FBtr0082547, FBtr0087241, FBtr0304964, FBtr0088997"	566	35	10996	2.775365977	1	1
GOTERM_BP_DIRECT	GO:0046716~muscle cell cellular homeostasis	3	0.432276657	0.460891281	0.383308	3.566935942	"FBtr0100023, FBtr0087241, FBtr0304964"	566	30	10996	1.942756184	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0302374	jbug-RL	1.968561	0.008018	0.9	FlyBase jbug-RL	Figure for jbug-RL							
FBtr0082547	Cpn-RA	0.398669	0.051533	1.5	FlyBase Cpn-RA	Figure for Cpn-RA							
FBtr0304964	Cam-RD	0.285993	NOTEST	19.5	FlyBase Cam-RD	Figure for Cam-RD							
FBtr0330233	jbug-RM	1.898415	0.015683	23.2	FlyBase jbug-RM	Figure for jbug-RM							
FBtr0071207	Nrg-RA	0.50197	0.057192	7.1	FlyBase Nrg-RA	Figure for Nrg-RA							
FBtr0087241	Lis-1-RF	0.763826	0.029055	3.9	FlyBase Lis-1-RF	Figure for Lis-1-RF							
FBtr0100023	capt-RB	0.677838	0.026614	1.7	FlyBase capt-RB	Figure for capt-RB							
FBtr0088997	p47-RA	0.814447	0.028494	22.2	FlyBase p47-RA	Figure for p47-RA							
													
Cluster-18	total=9	enrichmentScore=0.8860757327680421	phaseStdDev=3.7952161879351336	"Thioredoxin domain,cell redox homeostasis,protein disulfide oxidoreductase activity,cellAnnotation Cluster 18"	Enrichment Score: 0.8860757327680421								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR013766:Thioredoxin domain	6	0.864553314	0.047152664	1.103631	3.73679471	"FBtr0070233, FBtr0086136, FBtr0074242, FBtr0079840, FBtr0308841, FBtr0080465, FBtr0083503"	611	36	10984	2.996181124	1	1
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	7	1.008645533	0.049279991	0.6868455	3.665262806	"FBtr0071168, FBtr0070233, FBtr0086136, FBtr0074242, FBtr0079840, FBtr0308841, FBtr0080465, FBtr0083503"	566	52	10996	2.615248709	1	1
GOTERM_MF_DIRECT	GO:0015035~protein disulfide oxidoreductase activity	3	0.432276657	0.256944127	0.633391667	2.755986739	"FBtr0070233, FBtr0079840, FBtr0080465"	507	18	9284	3.051939513	1	1
GOTERM_CC_DIRECT	GO:0005623~cell	4	0.576368876	0.478279233	0.1781124	4.778503107	"FBtr0086136, FBtr0114586, FBtr0079840, FBtr0308841, FBtr0080465"	561	46	10026	1.554057196	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0083503	Prx3-RA	0.565094	0.042671	0.2	FlyBase Prx3-RA	Figure for Prx3-RA							
FBtr0114586	egl-RB	1.529843	0.02585	19.7	FlyBase egl-RB	Figure for egl-RB							
FBtr0070233	CG3719-RA	1.400801	0.016774	23.2	FlyBase CG3719-RA	Figure for CG3719-RA							
FBtr0071168	Trxr-1-RB	1.093512	0.03296	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0079840	Trx-2-RA	1.767768	0.014377	4.5	FlyBase Trx-2-RA	Figure for Trx-2-RA							
FBtr0308841	l(2)01289-RL	0.263295	0.051356	19.4	FlyBase l(2)01289-RL	Figure for l(2)01289-RL							
FBtr0080465	CG6523-RA	1.182318	0.02585	22.2	FlyBase CG6523-RA	Figure for CG6523-RA							
FBtr0074242	CG9911-RB	0.935037	0.037522	3.1	FlyBase CG9911-RB	Figure for CG9911-RB							
FBtr0086136	l(2)01289-RA	0.966892	0.031037	7.1	FlyBase l(2)01289-RA	Figure for l(2)01289-RA							
													
Cluster-19	total=17	enrichmentScore=0.8145981150764328	phaseStdDev=5.209568604692691	"Ig-like C2-type 3,Immunoglobulin I-set,Ig-like C2-type 1,Ig-like C2-type 2,Immunoglobulin-like fold,FN3,Fibronectin, type III,Ig-like C2-type 4,Immunoglobulin domain,IGc2,Immunoglobulin subtype 2,IG,Immunoglobulin subtype,Immunoglobulin-like domainAnnotation Cluster 19"	Enrichment Score: 0.8145981150764328								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	domain:Ig-like C2-type 3	4	0.576368876	0.043418461	2.00877625	5.499818453	"FBtr0340195, FBtr0301839, FBtr0071207, FBtr0072954"	196	13	3113	4.886970173	1	1
INTERPRO	IPR013098:Immunoglobulin I-set	8	1.152737752	0.072426271	3.458583	5.989484704	"FBtr0333795, FBtr0334482, FBtr0340195, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	611	66	10984	2.179040817	1	1
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	4	0.576368876	0.111985909	2.00877625	5.499818453	"FBtr0340195, FBtr0301839, FBtr0071207, FBtr0072954"	196	19	3113	3.343716434	1	1
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	4	0.576368876	0.111985909	2.00877625	5.499818453	"FBtr0340195, FBtr0301839, FBtr0071207, FBtr0072954"	196	19	3113	3.343716434	1	1
INTERPRO	IPR013783:Immunoglobulin-like fold	15	2.161383285	0.11535667	2.259133882	5.209568605	"FBtr0089084, FBtr0077519, FBtr0089340, FBtr0072131, FBtr0340195, FBtr0343286, FBtr0089125, FBtr0089126, FBtr0302374, FBtr0333795, FBtr0334482, FBtr0079572, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954, FBtr0330233"	611	177	10984	1.523481927	1	1
SMART	SM00060:FN3	6	0.864553314	0.123040351	3.837693429	5.948521155	"FBtr0089084, FBtr0334482, FBtr0340195, FBtr0343286, FBtr0089125, FBtr0089126, FBtr0071207"	289	48	5218	2.256920415	1	1
INTERPRO	"IPR003961:Fibronectin, type III"	7	1.008645533	0.143368583	3.015555625	5.974375693	"FBtr0089084, FBtr0334482, FBtr0340195, FBtr0343286, FBtr0309285, FBtr0089125, FBtr0089126, FBtr0071207"	611	64	10984	1.966243863	1	1
UP_SEQ_FEATURE	domain:Ig-like C2-type 4	3	0.432276657	0.148060463	3.475232	5.632823521	"FBtr0340195, FBtr0071207, FBtr0072954"	196	11	3113	4.331632653	1	1
UP_KEYWORDS	Immunoglobulin domain	5	0.720461095	0.204956446	1.0591392	5.273105776	"FBtr0340195, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	694	47	13921	2.133944448	1	0.916503352
SMART	SM00408:IGc2	9	1.296829971	0.252736344	3.799595111	5.728721429	"FBtr0333795, FBtr0334482, FBtr0340195, FBtr0079572, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	289	109	5218	1.490809816	1	1
INTERPRO	IPR003598:Immunoglobulin subtype 2	9	1.296829971	0.258838845	3.799595111	5.728721429	"FBtr0333795, FBtr0334482, FBtr0340195, FBtr0079572, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	611	109	10984	1.484346612	1	1
SMART	SM00409:IG	9	1.296829971	0.268596416	3.799595111	5.728721429	"FBtr0333795, FBtr0334482, FBtr0340195, FBtr0079572, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	289	111	5218	1.463948377	1	1
INTERPRO	IPR003599:Immunoglobulin subtype	9	1.296829971	0.274837182	3.799595111	5.728721429	"FBtr0333795, FBtr0334482, FBtr0340195, FBtr0079572, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	611	111	10984	1.457601628	1	1
INTERPRO	IPR007110:Immunoglobulin-like domain	10	1.44092219	0.335128427	3.4225504	5.551206059	"FBtr0333795, FBtr0072131, FBtr0334482, FBtr0340195, FBtr0079572, FBtr0343286, FBtr0309285, FBtr0301839, FBtr0071207, FBtr0072954"	611	135	10984	1.331636055	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0309285	CG33543-RD	1.717609	0	21.3	FlyBase CG33543-RD	Figure for CG33543-RD							
FBtr0072131	CG5597-RA	0.823136	0.039622	0	FlyBase CG5597-RA	Figure for CG5597-RA							
FBtr0330233	jbug-RM	1.898415	0.015683	23.2	FlyBase jbug-RM	Figure for jbug-RM							
FBtr0089126	Hcf-RA	0.856393	0.036727	20.4	FlyBase Hcf-RA	Figure for Hcf-RA							
FBtr0079572	Bsg-RH	0.770949	0.048636	6.5	FlyBase Bsg-RH	Figure for Bsg-RH							
FBtr0343286	Unc-89-RG	1.118716	0.029757	0.6	FlyBase Unc-89-RG	Figure for Unc-89-RG							
FBtr0302374	jbug-RL	1.968561	0.008018	0.9	FlyBase jbug-RL	Figure for jbug-RL							
FBtr0340195	sdk-RG	0.716121	0.058421	7.8	FlyBase sdk-RG	Figure for sdk-RG							
FBtr0071207	Nrg-RA	0.50197	0.057192	7.1	FlyBase Nrg-RA	Figure for Nrg-RA							
FBtr0334482	bt-RH	0.555417	0.050058	11.4	FlyBase bt-RH	Figure for bt-RH							
FBtr0301839	Ppn-RG	1.260023	0.02813	21.6	FlyBase Ppn-RG	Figure for Ppn-RG							
FBtr0089340	Rel-RC	0.870308	0.049729	3.5	FlyBase Rel-RC	Figure for Rel-RC							
FBtr0089084	Eph-RC	-0.361779	0.049729	19.1	FlyBase Eph-RC	Figure for Eph-RC							
FBtr0077519	Sec5-RA	0.353804	0.039622	0.7	FlyBase Sec5-RA	Figure for Sec5-RA							
FBtr0072954	Pxn-RE	0.910893	0.027401	19.5	FlyBase Pxn-RE	Figure for Pxn-RE							
FBtr0333795	DIP-alpha-RC	0.066508	0.045242	10.4	FlyBase DIP-alpha-RC	Figure for DIP-alpha-RC							
FBtr0089125	Hcf-RB	0.378055	0.050058	8.5	FlyBase Hcf-RB	Figure for Hcf-RB							
													
Cluster-20	total=9	enrichmentScore=0.7648102243867883	phaseStdDev=3.2922616121128687	"FAD,Flavoprotein,FAD,flavin adenine dinucleotide binding,Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domainAnnotation Cluster 20"	Enrichment Score: 0.7648102243867883								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	FAD	7	1.008645533	0.077003641	-2.828885571	1.267468729	"FBtr0079251, FBtr0071168, FBtr0079263, FBtr0071607, FBtr0084172, FBtr0079128, FBtr0082404"	694	60	13921	2.340225744	0.999999998	0.570308216
UP_KEYWORDS	Flavoprotein	7	1.008645533	0.128188307	-2.828885571	1.267468729	"FBtr0079251, FBtr0071168, FBtr0079263, FBtr0071607, FBtr0084172, FBtr0079128, FBtr0082404"	694	69	13921	2.034978908	1	0.768953816
UP_SEQ_FEATURE	nucleotide phosphate-binding region:FAD	3	0.432276657	0.170678073	-2.318195667	0.071935587	"FBtr0079251, FBtr0071168, FBtr0082404"	196	12	3113	3.970663265	1	1
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	6	0.864553314	0.227706877	-1.442390333	3.964606195	"FBtr0079251, FBtr0071168, FBtr0079263, FBtr0343381, FBtr0071607, FBtr0082404"	507	60	9284	1.831163708	1	1
INTERPRO	"IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain"	5	0.720461095	0.39087269	-0.2335454	3.678714876	"FBtr0071168, FBtr0343381, FBtr0079128, FBtr0082404, FBtr0081333"	611	57	10984	1.576937434	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0079263	CG9547-RA	0.984966	0.013115	18.5	FlyBase CG9547-RA	Figure for CG9547-RA							
FBtr0343381	CG9512-RB	1.373715	0.024683	7.1	FlyBase CG9512-RB	Figure for CG9512-RB							
FBtr0071607	Acox57D-d-RA	0.712568	0.03782	20.8	FlyBase Acox57D-d-RA	Figure for Acox57D-d-RA							
FBtr0079251	Cpr-RB	1.426223	0.022309	21.6	FlyBase Cpr-RB	Figure for Cpr-RB							
FBtr0071168	Trxr-1-RB	1.093512	0.03296	21.8	FlyBase Trxr-1-RB	Figure for Trxr-1-RB							
FBtr0084172	ND-42-RA	0.973126	0.024683	21	FlyBase ND-42-RA	Figure for ND-42-RA							
FBtr0082404	ninaG-RA	1.358534	0.031037	21.7	FlyBase ninaG-RA	Figure for ninaG-RA							
FBtr0079128	CG7277-RA	1.055386	0.017597	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
FBtr0081333	CG10721-RA	1.561285	0.021439	21.4	FlyBase CG10721-RA	Figure for CG10721-RA							
													
Cluster-21	total=4	enrichmentScore=0.715848178863584	phaseStdDev=6.46046630696088	"cell adhesion involved in heart morphogenesis,septate junction assembly,establishment of glial blood-brain barrierAnnotation Cluster 21"	Enrichment Score: 0.715848178863584								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0061343~cell adhesion involved in heart morphogenesis	3	0.432276657	0.123778302	1.223618	4.338690922	"FBtr0100382, FBtr0088264, FBtr0071207"	566	12	10996	4.856890459	1	1
GOTERM_BP_DIRECT	GO:0019991~septate junction assembly	4	0.576368876	0.225418928	-1.8106005	6.460466307	"FBtr0334543, FBtr0100382, FBtr0088264, FBtr0071207"	566	32	10996	2.42844523	1	1
GOTERM_BP_DIRECT	GO:0060857~establishment of glial blood-brain barrier	3	0.432276657	0.255164683	1.223618	4.338690922	"FBtr0100382, FBtr0088264, FBtr0071207"	566	19	10996	3.067509764	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0334543	Pak-RI	0.699481	0.045606	13.1	FlyBase Pak-RI	Figure for Pak-RI							
FBtr0071207	Nrg-RA	0.50197	0.057192	7.1	FlyBase Nrg-RA	Figure for Nrg-RA							
FBtr0088264	Galphao-RB	0.624849	0.044367	20.8	FlyBase Galphao-RB	Figure for Galphao-RB							
FBtr0100382	nrv2-RF	1.287082	0.025327	23.8	FlyBase nrv2-RF	Figure for nrv2-RF							
													
Cluster-22	total=8	enrichmentScore=0.6946300786471391	phaseStdDev=1.3790179961964557	"eukaryotic translation initiation factor 2B complex,translational initiation,Protein biosynthesis,regulation of translational initiation,Initiation factor,translation initiation factor activityAnnotation Cluster 22"	Enrichment Score: 0.6946300786471391								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_CC_DIRECT	GO:0005851~eukaryotic translation initiation factor 2B complex	3	0.432276657	0.040203408	-2.390344333	1.165151427	"FBtr0087336, FBtr0085508, FBtr0070479"	561	6	10026	8.935828877	0.999999467	0.953297389
GOTERM_BP_DIRECT	GO:0006413~translational initiation	5	0.720461095	0.231893086	-2.1130972	0.96935721	"FBtr0072235, FBtr0087336, FBtr0076022, FBtr0085508, FBtr0070479"	566	48	10996	2.023704358	1	1
UP_KEYWORDS	Protein biosynthesis	7	1.008645533	0.248272626	-0.982496143	1.014971484	"FBtr0072235, FBtr0345640, FBtr0076022, FBtr0087594, FBtr0085508, FBtr0070479, FBtr0075566"	694	85	13921	1.651924055	1	0.948
GOTERM_BP_DIRECT	GO:0006446~regulation of translational initiation	3	0.432276657	0.274590909	-1.672729667	0.260269316	"FBtr0076022, FBtr0085508, FBtr0070479"	566	20	10996	2.914134276	1	1
UP_KEYWORDS	Initiation factor	4	0.576368876	0.293154448	-1.63970725	0.232543604	"FBtr0072235, FBtr0076022, FBtr0085508, FBtr0070479"	694	38	13921	2.111481875	1	0.948
GOTERM_MF_DIRECT	GO:0003743~translation initiation factor activity	5	0.720461095	0.364718154	-2.1130972	0.96935721	"FBtr0072235, FBtr0087336, FBtr0076022, FBtr0085508, FBtr0070479"	507	56	9284	1.634967597	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0070479	eIF2Bbeta-RA	1.575505	0.019558	22.7	FlyBase eIF2Bbeta-RA	Figure for eIF2Bbeta-RA							
FBtr0075566	AIMP2-RB	2.185726	0.014377	0.5	FlyBase AIMP2-RB	Figure for AIMP2-RB							
FBtr0072235	eIF6-RA	1.64543	0	22.5	FlyBase eIF6-RA	Figure for eIF6-RA							
FBtr0087336	eIF2Bgamma-RA	0.707305	0.057894	20	FlyBase eIF2Bgamma-RA	Figure for eIF2Bgamma-RA							
FBtr0087594	PheRS-m-RA	1.817156	0.008018	22.5	FlyBase PheRS-m-RA	Figure for PheRS-m-RA							
FBtr0076022	eIF3l-RA	1.434886	0.026614	22.1	FlyBase eIF3l-RA	Figure for eIF3l-RA							
FBtr0345640	LeuRS-RB	0.976584	0.042263	0.7	FlyBase LeuRS-RB	Figure for LeuRS-RB							
FBtr0085508	eIF2Balpha-RA	1.252153	0.019558	22.1	FlyBase eIF2Balpha-RA	Figure for eIF2Balpha-RA							
													
Cluster-23	total=22	enrichmentScore=0.6825756610090699	phaseStdDev=2.3930052484136426	"mitochondrial translation,mitochondrial large ribosomal subunit,Ribosomal protein,Ribonucleoprotein,structural constituent of ribosome,Ribosome,translationAnnotation Cluster 23"	Enrichment Score: 0.6825756610090699								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0032543~mitochondrial translation	11	1.585014409	0.013477322	-1.775303364	2.108969074	"FBtr0084577, FBtr0075519, FBtr0111146, FBtr0331227, FBtr0072084, FBtr0074330, FBtr0075672, FBtr0084272, FBtr0078215, FBtr0070459, FBtr0071533"	566	87	10996	2.456358393	0.99999999	1
